Date,Salesperson,Product,Category,Quantity,Unit_Price,Total_Sale,Commission,Cost_of_Goods,Gross_Profit,Customer_ID,Lead_Source,Deal_Size,Profit_Margin,Month,Quarter,Year,Weekday
2022-01-01,Bob Smith,Widget C,Hardware,1,370.5348100962365,370.5348100962365,54.46527679294316,222.32088605774192,148.2139240384946,CUST_7949,Referral,Small,40.0,1,1,2022,Saturday
2022-01-01,Eva Garcia,Widget A,Services,2,269.18586822882276,538.3717364576455,27.299016724030178,323.0230418745873,215.3486945830582,CUST_9666,Cold Call,Small,40.0,1,1,2022,Saturday
2022-01-01,David Wilson,Gadget X,Services,2,438.70302143614003,877.4060428722801,77.42774837429138,526.443625723368,350.9624171489121,CUST_2267,Website,Small,40.00000000000001,1,1,2022,Saturday
2022-01-02,Bob Smith,Gadget X,Electronics,4,442.62597975773537,1770.5039190309415,231.65226324898856,1062.3023514185647,708.2015676123767,CUST_8513,Social Media,Small,40.00000000000001,1,1,2022,Sunday
2022-01-02,David Wilson,Gadget X,Hardware,1,500.8602687253666,500.8602687253666,44.62968553597218,300.51616123521995,200.34410749014665,CUST_2585,Trade Show,Small,40.0,1,1,2022,Sunday
2022-01-02,Bob Smith,Gadget X,Software,1,466.7903511628238,466.7903511628238,62.65655812937111,280.0742106976943,186.7161404651295,CUST_6675,Referral,Small,40.0,1,1,2022,Sunday
2022-01-03,David Wilson,Widget A,Software,1,224.7728664283723,224.7728664283723,29.866413866297474,134.86371985702337,89.90914657134894,CUST_5859,Trade Show,Small,40.00000000000001,1,1,2022,Monday
2022-01-03,Alice Johnson,Gadget Y,Hardware,1,505.0023471877867,505.0023471877867,26.03975956997792,303.001408312672,202.00093887511468,CUST_3568,Website,Small,40.0,1,1,2022,Monday
2022-01-03,Carol Brown,Widget C,Electronics,2,349.77870082467524,699.5574016493505,99.77793365429844,419.7344409896103,279.8229606597402,CUST_7184,Trade Show,Medium,40.0,1,1,2022,Monday
2022-01-03,David Wilson,Widget B,Electronics,1,192.19981337412017,192.19981337412017,15.587065088346097,115.31988802447209,76.87992534964808,CUST_9996,Cold Call,Small,40.0,1,1,2022,Monday
2022-01-03,Carol Brown,Widget C,Electronics,3,330.45904716704047,991.3771415011214,121.11947203799659,594.8262849006728,396.5508566004486,CUST_1502,Cold Call,Small,40.0,1,1,2022,Monday
2022-01-03,Bob Smith,Widget B,Services,1,178.53985882514363,178.53985882514363,9.488129178807057,107.12391529508618,71.41594353005745,CUST_3790,Website,Small,40.0,1,1,2022,Monday
2022-01-03,David Wilson,Gadget Y,Hardware,1,652.3623058794311,652.3623058794311,94.12632823355749,391.41738352765867,260.94492235177245,CUST_4157,Trade Show,Large,40.0,1,1,2022,Monday
2022-01-03,Eva Garcia,Widget A,Electronics,3,307.1806495739323,921.541948721797,120.13885062398023,552.9251692330782,368.61677948871875,CUST_4627,Trade Show,Medium,40.0,1,1,2022,Monday
2022-01-04,David Wilson,Widget A,Hardware,2,243.54538003659152,487.09076007318305,24.379885086276452,292.25445604390984,194.8363040292732,CUST_6864,Cold Call,Small,40.0,1,1,2022,Tuesday
2022-01-04,Carol Brown,Widget A,Software,1,261.52389038550734,261.52389038550734,16.21096023803463,156.9143342313044,104.60955615420295,CUST_1663,Cold Call,Small,40.0,1,1,2022,Tuesday
2022-01-04,Alice Johnson,Gadget X,Electronics,1,449.3032496994699,449.3032496994699,53.75033974162782,269.58194981968194,179.72129987978798,CUST_8554,Website,Small,40.0,1,1,2022,Tuesday
2022-01-04,Alice Johnson,Widget C,Electronics,5,319.12395374127493,1595.6197687063745,145.36686684737825,957.3718612238248,638.2479074825497,CUST_1854,Social Media,Small,40.0,1,1,2022,Tuesday
2022-01-04,Alice Johnson,Widget C,Software,5,318.8892233694322,1594.4461168471612,118.31671461474778,956.6676701082965,637.7784467388647,CUST_5931,Cold Call,Small,40.000000000000014,1,1,2022,Tuesday
2022-01-04,Alice Johnson,Gadget Y,Services,5,529.879317742828,2649.39658871414,238.13424116654878,1589.637953228484,1059.7586354856558,CUST_7287,Website,Small,39.99999999999999,1,1,2022,Tuesday
2022-01-04,Carol Brown,Gadget Y,Hardware,1,702.3962972207077,702.3962972207077,71.08904165921967,421.43777833242456,280.9585188882831,CUST_9338,Trade Show,Medium,40.0,1,1,2022,Tuesday
2022-01-04,David Wilson,Widget A,Electronics,1,271.83973539088447,271.83973539088447,27.66652578211055,163.10384123453068,108.7358941563538,CUST_5736,Cold Call,Small,40.0,1,1,2022,Tuesday
2022-01-04,Alice Johnson,Widget B,Hardware,1,213.70174411177297,213.70174411177297,14.423904511723615,128.2210464670638,85.48069764470918,CUST_9815,Website,Small,40.0,1,1,2022,Tuesday
2022-01-04,Alice Johnson,Widget B,Electronics,1,187.13473092115998,187.13473092115998,26.14675949034004,112.28083855269598,74.853892368464,CUST_4108,Cold Call,Small,40.0,1,1,2022,Tuesday
2022-01-04,Alice Johnson,Widget C,Hardware,3,336.7021300997407,1010.1063902992221,129.28104676584908,606.0638341795333,404.0425561196888,CUST_2648,Trade Show,Medium,40.0,1,1,2022,Tuesday
2022-01-05,Alice Johnson,Widget C,Electronics,1,329.503509543462,329.503509543462,21.77385720766423,197.70210572607718,131.8014038173848,CUST_5433,Referral,Medium,40.0,1,1,2022,Wednesday
2022-01-05,Eva Garcia,Widget A,Services,1,225.63295824431694,225.63295824431694,28.124954316289507,135.37977494659015,90.25318329772679,CUST_7015,Cold Call,Medium,40.00000000000001,1,1,2022,Wednesday
2022-01-05,Alice Johnson,Gadget X,Hardware,1,485.41880716841035,485.41880716841035,37.14436205625065,291.2512843010462,194.16752286736414,CUST_7893,Social Media,Small,40.0,1,1,2022,Wednesday
2022-01-05,Carol Brown,Widget C,Software,2,361.61104473588927,723.2220894717785,98.65961168009302,433.9332536830671,289.2888357887114,CUST_8996,Cold Call,Small,40.0,1,1,2022,Wednesday
2022-01-05,Alice Johnson,Widget A,Services,4,216.41190589831416,865.6476235932566,125.85898175566149,519.388574155954,346.2590494373027,CUST_4444,Cold Call,Medium,40.0,1,1,2022,Wednesday
2022-01-05,Eva Garcia,Gadget Y,Electronics,5,727.1331727337995,3635.665863668997,209.1766742751244,2181.399518201398,1454.266345467599,CUST_1980,Website,Small,40.0,1,1,2022,Wednesday
2022-01-05,Bob Smith,Widget A,Software,4,288.6634188867877,1154.653675547151,138.1000200794669,692.7922053282905,461.8614702188604,CUST_2895,Referral,Medium,40.0,1,1,2022,Wednesday
2022-01-05,Bob Smith,Widget C,Software,2,331.44919553114505,662.8983910622901,79.71247645530664,397.73903463737406,265.15935642491604,CUST_8343,Social Media,Small,40.0,1,1,2022,Wednesday
2022-01-05,Bob Smith,Widget C,Software,3,337.9451048437835,1013.8353145313505,143.27931801095497,608.3011887188103,405.5341258125402,CUST_6625,Website,Medium,40.0,1,1,2022,Wednesday
2022-01-05,David Wilson,Widget A,Services,3,273.85004408733005,821.5501322619901,68.84550319462863,492.93007935719413,328.620052904796,CUST_6919,Cold Call,Small,40.0,1,1,2022,Wednesday
2022-01-05,Eva Garcia,Widget B,Software,1,191.72504252350436,191.72504252350436,10.302310433787119,115.03502551410261,76.69001700940174,CUST_4854,Cold Call,Small,40.0,1,1,2022,Wednesday
2022-01-05,Alice Johnson,Gadget Y,Services,1,632.9745807037601,632.9745807037601,34.92005061386282,379.7847484222561,253.18983228150404,CUST_8027,Cold Call,Medium,40.0,1,1,2022,Wednesday
2022-01-06,Alice Johnson,Widget C,Services,2,279.33210217996674,558.6642043599335,41.94788990954026,335.1985226159601,223.4656817439734,CUST_9308,Website,Medium,40.0,1,1,2022,Thursday
2022-01-06,Alice Johnson,Widget B,Software,2,171.4509843991028,342.9019687982056,41.64873331881245,205.74118127892334,137.16078751928225,CUST_8404,Social Media,Medium,40.0,1,1,2022,Thursday
2022-01-06,Eva Garcia,Gadget Y,Software,2,560.8002460455773,1121.6004920911546,61.4318678345215,672.9602952546927,448.6401968364619,CUST_5249,Cold Call,Medium,40.0,1,1,2022,Thursday
2022-01-06,Alice Johnson,Gadget Y,Software,1,641.9455429115993,641.9455429115993,61.92680545801214,385.1673257469596,256.7782171646397,CUST_5452,Referral,Medium,40.0,1,1,2022,Thursday
2022-01-06,Eva Garcia,Gadget X,Software,1,476.99534851699525,476.99534851699525,24.57978687882021,286.19720911019715,190.7981394067981,CUST_3489,Website,Small,40.0,1,1,2022,Thursday
2022-01-06,Eva Garcia,Gadget X,Services,1,458.95768630080613,458.95768630080613,49.83250486231815,275.3746117804837,183.58307452032244,CUST_1851,Trade Show,Small,40.0,1,1,2022,Thursday
2022-01-06,David Wilson,Widget A,Electronics,3,234.99457807103013,704.9837342130904,93.10293491591918,422.9902405278542,281.9934936852362,CUST_6387,Cold Call,Medium,40.00000000000001,1,1,2022,Thursday
2022-01-06,Bob Smith,Widget C,Services,1,291.74148292865493,291.74148292865493,15.723790346406043,175.04488975719295,116.69659317146198,CUST_9945,Cold Call,Small,40.0,1,1,2022,Thursday
2022-01-06,Bob Smith,Gadget Y,Software,2,558.037317096211,1116.074634192422,93.8199758857964,669.6447805154532,446.42985367696883,CUST_9306,Website,Small,40.0,1,1,2022,Thursday
2022-01-06,Bob Smith,Gadget Y,Software,2,653.975992525995,1307.95198505199,170.48904703742775,784.771191031194,523.180794020796,CUST_9867,Referral,Small,40.0,1,1,2022,Thursday
2022-01-06,Carol Brown,Widget A,Hardware,1,257.6824880219152,257.6824880219152,22.470378994719226,154.60949281314913,103.07299520876609,CUST_3143,Social Media,Small,40.0,1,1,2022,Thursday
2022-01-07,Carol Brown,Widget A,Software,3,250.30366272683062,750.9109881804918,61.57842562669147,450.5465929082951,300.3643952721967,CUST_1698,Cold Call,Small,40.0,1,1,2022,Friday
2022-01-07,David Wilson,Gadget Y,Electronics,3,655.8560450384448,1967.5681351153344,168.20842112991548,1180.5408810692006,787.0272540461337,CUST_1717,Trade Show,Small,40.0,1,1,2022,Friday
2022-01-07,Eva Garcia,Gadget Y,Hardware,1,667.412506901491,667.412506901491,96.52083253319248,400.44750414089464,266.9650027605964,CUST_2167,Website,Small,40.0,1,1,2022,Friday
2022-01-07,Eva Garcia,Widget B,Software,1,218.57769338605,218.57769338605,22.940360224036123,131.14661603162997,87.43107735442001,CUST_8330,Social Media,Small,40.00000000000001,1,1,2022,Friday
2022-01-07,Bob Smith,Gadget X,Electronics,1,477.62286036639415,477.62286036639415,27.898276349612388,286.57371621983646,191.0491441465577,CUST_2191,Referral,Small,40.00000000000001,1,1,2022,Friday
2022-01-07,Carol Brown,Widget B,Software,1,204.44185418579977,204.44185418579977,11.956530666536127,122.66511251147986,81.77674167431991,CUST_2365,Trade Show,Small,40.0,1,1,2022,Friday
2022-01-07,Alice Johnson,Gadget Y,Services,1,679.5902332462065,679.5902332462065,59.66717911584576,407.7541399477239,271.8360932984826,CUST_5186,Referral,Large,40.0,1,1,2022,Friday
